ip_address,http_status,latitude,longitude,user name,time,city,state
172.16.26.46/19,11,33.7866,-118.2987,jklug1v@freewebs.com,2020-05-27 20:24:50,Pasadena,California
63.36.59.166/13,63,40.5927,-111.831,nsteabler1w@indiatimes.com,2020-01-29 15:43:04,Sandy,Utah
22.158.171.179/12,83,38.189,-85.6768,hbarbery1x@oaic.gov.au,2020-12-14 14:38:25,Louisville,Kentucky
238.18.80.95/6,97,36.086,-115.1471,lsandercock1y@nbcnews.com,2020-11-04 15:23:30,Las Vegas,Nevada
2.154.222.222/11,19,40.4344,-80.0248,cbernardotti1z@t-online.de,2020-07-24 23:26:35,Pittsburgh,Pennsylvania
141.247.22.102/5,28,33.7629,-84.4226,abuttrum20@omniture.com,2020-10-23 22:14:14,Atlanta,Georgia
43.64.103.2/18,93,39.7509,-86.1924,ahurring21@pcworld.com,2020-08-16 11:19:21,Indianapolis,Indiana
46.240.224.9/16,13,31.6948,-106.3,aleadbitter22@w3.org,2020-05-22 09:58:24,El Paso,Texas
218.69.30.112/30,94,26.5529,-81.9486,sstebbin23@hibu.com,2020-12-05 08:45:38,Fort Myers,Florida
211.45.167.136/21,96,40.6914,-73.8061,dcoaten24@tuttocitta.it,2020-11-15 22:18:12,Jamaica,New York
61.228.241.65/24,86,32.2334,-86.2085,tgaskin25@ucsd.edu,2020-09-29 08:37:22,Montgomery,Alabama
10.20.184.244/26,37,33.9982,-84.3411,lhagart26@cbslocal.com,2020-09-26 11:48:01,Atlanta,Georgia
184.78.106.180/19,85,37.7641,-122.1633,apetrik27@paginegialle.it,2020-11-30 09:15:26,Oakland,California
68.176.113.6/27,36,28.1147,-82.3678,hhatto28@facebook.com,2020-03-01 15:17:41,Tampa,Florida
85.54.137.81/27,34,41.2405,-80.8441,schree29@cisco.com,2020-08-22 14:22:53,Warren,Ohio
31.129.4.123/5,88,45.5486,-123.1147,wpotte2a@vinaora.com,2020-11-23 15:18:09,Beaverton,Oregon
17.33.231.78/27,87,33.8444,-84.474,jsifleet2b@imageshack.us,2020-04-08 09:33:40,Atlanta,Georgia
12.224.222.202/15,81,39.0429,-95.7697,sshermar2c@cargocollective.com,2020-12-02 21:29:44,Topeka,Kansas
39.134.29.166/24,67,40.7611,-73.968,wberecloth2d@telegraph.co.uk,2020-10-25 22:30:22,New York City,New York
131.166.203.55/30,28,43.0421,-76.1046,jyaxley2e@oakley.com,2020-12-06 16:53:24,Syracuse,New York
45.73.22.227/29,28,35.216,-102.0714,ftolomelli2f@wix.com,2020-07-06 07:22:35,Amarillo,Texas
135.106.201.108/22,61,33.9464,-83.9912,pfiggins2g@yellowpages.com,2020-11-16 12:20:21,Lawrenceville,Georgia
42.55.49.169/5,79,36.3158,-82.3838,greisin2h@about.me,2020-01-31 15:33:35,Johnson City,Tennessee
229.23.2.38/3,35,25.6364,-80.3187,cmatyatin2i@360.cn,2020-10-11 15:59:00,Miami,Florida
30.46.209.147/6,75,37.799,-122.2337,fseyers2j@myspace.com,2020-12-14 12:16:36,Oakland,California
103.131.158.223/30,58,39.0429,-95.7697,kguyot2k@nasa.gov,2021-01-01 21:44:21,Topeka,Kansas
49.199.181.109/13,26,37.0318,-76.3199,oramm2l@state.gov,2020-03-24 23:41:50,Hampton,Virginia
32.134.21.229/10,11,34.84,-115.9671,rpund2m@infoseek.co.jp,2020-12-24 09:50:44,San Bernardino,California
137.99.16.44/3,42,29.7179,-95.4263,eocullen2n@slideshare.net,2020-01-26 16:29:36,Houston,Texas
48.229.147.93/5,92,35.9244,-84.0015,gjakeman2o@mit.edu,2021-01-13 01:05:22,Knoxville,Tennessee
8.62.232.154/30,13,26.0989,-80.1541,gcobson2p@umn.edu,2021-01-28 19:17:51,Fort Lauderdale,Florida
2.191.36.203/7,37,38.8933,-77.0146,bglowinski2q@odnoklassniki.ru,2020-09-23 18:02:07,Washington,District of Columbia
51.11.54.33/14,50,25.7274,-80.4497,ttalman2r@php.net,2020-10-12 07:31:00,Miami,Florida
223.16.43.14/20,65,41.7454,-87.7135,mskitch2s@last.fm,2020-08-05 11:15:06,Chicago,Illinois
143.25.248.87/23,14,35.4015,-101.8951,mbougourd2t@zimbio.com,2020-01-04 23:19:02,Amarillo,Texas
226.58.180.50/11,100,46.9346,-97.2297,bberanek2u@jiathis.com,2020-11-02 05:03:09,Fargo,North Dakota
36.22.248.149/21,63,30.033,-89.8826,dtrumble2v@gnu.org,2020-07-19 04:04:08,New Orleans,Louisiana
61.232.246.111/30,25,44.9608,-93.1216,kalejo2w@buzzfeed.com,2020-06-03 04:33:45,Saint Paul,Minnesota
229.8.26.40/5,67,21.2811,-157.8266,liron2x@rakuten.co.jp,2020-12-19 18:56:15,Honolulu,Hawaii
114.168.193.28/17,84,32.7673,-96.7776,gzupo2y@nationalgeographic.com,2021-01-28 09:04:58,Dallas,Texas
157.221.145.162/16,46,36.144,-80.2376,bberthomier2z@washington.edu,2020-10-02 15:32:39,Winston Salem,North Carolina
24.32.178.124/14,12,32.6889,-97.1905,rpeche30@linkedin.com,2020-04-04 19:57:21,Arlington,Texas
19.10.21.81/2,47,33.0169,-116.846,sgiacomasso31@theglobeandmail.com,2020-07-07 03:26:10,San Diego,California
110.8.134.48/25,2,40.7611,-73.968,ncoit32@mediafire.com,2020-04-04 01:11:08,New York City,New York
206.191.48.210/25,49,36.7464,-119.6397,sjonas33@oracle.com,2020-05-17 08:44:29,Fresno,California
205.233.148.190/24,88,34.0515,-118.2559,jteenan34@blogs.com,2020-10-20 11:20:53,Los Angeles,California
141.222.64.57/1,46,40.7286,-111.6627,jhunn35@meetup.com,2020-12-20 06:28:25,Salt Lake City,Utah
240.183.203.90/3,47,32.3218,-90.1771,sbenedicte36@ow.ly,2020-05-19 22:10:54,Jackson,Mississippi
7.145.245.254/24,99,38.189,-85.6768,ymaundrell37@studiopress.com,2020-07-10 19:50:25,Louisville,Kentucky
219.190.201.96/28,83,37.0156,-76.4332,hpodbury38@newyorker.com,2020-07-07 05:05:48,Newport News,Virginia
62.36.177.11/1,5,29.5407,-98.5521,mgromley39@uiuc.edu,2020-03-11 11:54:12,San Antonio,Texas
3.174.159.215/23,18,38.8247,-104.562,lolivas3a@constantcontact.com,2020-06-11 10:05:13,Colorado Springs,Colorado
136.248.105.225/22,97,30.3264,-97.7713,dsebastian3b@thetimes.co.uk,2020-09-29 02:29:13,Austin,Texas
122.252.169.164/27,5,35.5514,-97.4075,owalklett3c@hp.com,2021-01-08 12:33:28,Oklahoma City,Oklahoma
18.136.243.94/31,50,36.3551,-119.301,hvye3d@ed.gov,2020-05-13 19:56:55,Visalia,California
104.213.150.32/8,30,29.6813,-82.3539,wrozanski3e@marriott.com,2020-06-15 21:52:48,Gainesville,Florida
31.13.172.133/30,67,35.4015,-101.8951,bjeandeau3f@omniture.com,2020-07-09 00:29:46,Amarillo,Texas
224.84.210.54/8,98,38.2341,-84.8748,ishiliton3g@spiegel.de,2020-01-07 23:51:24,Frankfort,Kentucky
137.187.105.213/1,46,32.7831,-79.937,cfeld3h@mac.com,2020-12-30 06:01:52,Charleston,South Carolina
96.38.177.209/4,53,30.2407,-81.893,tderoos3i@shareasale.com,2020-03-10 02:05:45,Jacksonville,Florida
244.76.128.241/8,87,41.249,-96.0274,nmoulton3j@house.gov,2020-10-09 03:01:23,Omaha,Nebraska
224.160.177.128/3,86,29.5407,-98.5521,pbrounsell3k@icq.com,2020-10-14 02:44:32,San Antonio,Texas
209.182.110.45/15,15,36.5799,-82.5733,mwhelan3l@freewebs.com,2020-10-24 00:59:48,Kingsport,Tennessee
206.130.126.95/31,33,40.0086,-76.5972,eshasnan3m@dyndns.org,2021-01-14 05:41:37,York,Pennsylvania
100.68.32.75/21,87,35.2454,-101.999,boculligan3n@google.co.uk,2020-05-05 16:40:18,Amarillo,Texas
26.25.75.205/11,13,39.0024,-77.1034,aharefoot3o@nationalgeographic.com,2020-10-28 02:46:28,Bethesda,Maryland
90.24.248.252/21,6,26.134,-81.7953,guccelli3p@thetimes.co.uk,2020-10-06 04:11:37,Naples,Florida
247.131.238.5/23,90,34.006,-80.9708,ssolon3q@intel.com,2020-06-28 06:46:40,Columbia,South Carolina
193.210.152.62/31,62,58.3271,-134.4742,cproswell3r@csmonitor.com,2021-01-29 11:35:59,Juneau,Alaska
94.118.196.118/21,61,37.3866,-121.897,vchampion3s@dell.com,2020-08-11 11:10:05,San Jose,California
56.40.143.41/25,27,43.6375,-84.2568,bjanway3t@forbes.com,2020-01-07 23:23:56,Midland,Michigan
157.88.61.226/2,22,38.4142,-81.7582,tmosedill3u@who.int,2021-01-29 20:56:27,Charleston,West Virginia
114.166.147.58/13,77,29.0227,-81.1722,cdouble3v@devhub.com,2020-04-12 11:26:02,Daytona Beach,Florida
8.171.129.55/21,98,33.3538,-86.8254,bchaytor3w@linkedin.com,2020-11-26 19:05:59,Birmingham,Alabama
83.124.218.136/24,13,33.9187,-117.8892,mlittlejohns3x@house.gov,2020-05-27 16:45:13,Brea,California
143.124.212.145/30,89,33.8444,-84.474,rwidmoor3y@alexa.com,2020-01-16 23:39:36,Atlanta,Georgia
118.187.248.61/7,85,32.7948,-96.7697,tfrary3z@netlog.com,2020-04-18 09:06:47,Dallas,Texas
146.71.238.190/18,67,38.8808,-77.113,yheamus40@wp.com,2021-01-08 11:44:44,Arlington,Virginia
158.233.24.95/5,23,31.7466,-102.567,fludron41@apache.org,2021-01-23 13:17:26,Odessa,Texas
208.24.59.204/5,89,31.9701,-111.8907,fosan42@toplist.cz,2020-07-02 16:32:59,Tucson,Arizona
136.124.237.44/4,37,38.949,-94.7405,ttaber43@senate.gov,2020-12-15 05:51:12,Shawnee Mission,Kansas
111.37.80.66/1,96,38.0339,-78.4924,cstead44@alibaba.com,2021-01-19 03:39:59,Charlottesville,Virginia
135.138.141.134/5,53,41.8119,-87.6873,aeglin45@ameblo.jp,2020-08-26 04:42:08,Chicago,Illinois
117.131.13.44/3,61,43.0113,-83.7108,btomaello46@cbc.ca,2020-05-07 17:53:36,Flint,Michigan
209.103.53.8/31,76,37.2742,-79.9579,jrickeard47@hubpages.com,2020-02-28 23:12:50,Roanoke,Virginia
22.117.239.67/24,54,33.6062,-117.8931,cferrari48@weibo.com,2021-01-22 20:54:55,Newport Beach,California
56.229.176.44/28,82,31.9701,-111.8907,cbuglass49@biglobe.ne.jp,2020-12-15 10:58:10,Tucson,Arizona
44.84.74.89/22,86,28.5289,-81.4787,tmaccraw4a@ftc.gov,2020-12-07 05:28:03,Orlando,Florida
171.101.18.249/23,25,47.3081,-122.4185,dcatchpole4b@google.nl,2020-02-09 04:36:27,Tacoma,Washington
33.177.6.128/5,80,35.4015,-101.8951,chyrons4c@reference.com,2020-08-16 01:58:49,Amarillo,Texas
220.202.40.110/16,24,32.2334,-86.2085,smartina4d@barnesandnoble.com,2020-02-21 02:29:42,Montgomery,Alabama
226.49.164.140/4,44,36.0275,-80.2073,qshewery4e@amazon.co.uk,2020-07-19 08:24:13,Winston Salem,North Carolina
233.90.67.243/12,27,33.9982,-84.3411,amanville4f@jugem.jp,2020-08-21 02:14:20,Atlanta,Georgia
77.93.25.87/11,80,26.1097,-80.3215,athomas4g@last.fm,2020-07-04 13:52:25,Fort Lauderdale,Florida
63.28.149.222/17,77,25.5584,-80.4582,bschule4h@biblegateway.com,2020-07-05 18:01:11,Miami,Florida
45.99.137.219/18,82,40.7864,-73.9764,lleefe4i@uiuc.edu,2020-06-30 17:51:37,New York City,New York
145.156.214.26/12,5,44.2595,-72.585,rgoor4j@japanpost.jp,2020-12-18 20:17:14,Montpelier,Vermont
229.174.76.2/24,4,37.2187,-121.8601,ltiddy4k@jigsy.com,2020-10-27 21:47:48,San Jose,California
222.98.41.127/21,67,36.7464,-119.6397,cfelix4l@squidoo.com,2020-03-11 07:59:38,Fresno,California
145.186.3.3/20,57,30.7309,-88.0789,jperse4m@booking.com,2020-05-15 20:32:03,Mobile,Alabama
193.195.179.25/28,34,38.3774,-121.4444,ggallehawk4n@google.fr,2020-03-01 19:43:56,Sacramento,California
68.221.239.21/7,41,40.6775,-89.6263,bgarrood4o@theatlantic.com,2020-09-22 12:06:32,Peoria,Illinois
175.92.35.75/1,30,25.6615,-80.441,acicconetti4p@mlb.com,2020-06-17 08:04:37,Miami,Florida
32.241.106.177/12,86,33.7488,-84.3883,dbengough4q@unicef.org,2020-01-20 22:01:26,Atlanta,Georgia
236.82.216.37/14,60,41.2064,-95.9953,bskirven4r@mit.edu,2020-09-24 04:29:23,Omaha,Nebraska
18.58.7.100/2,9,39.009,-77.4422,mshortland4s@fastcompany.com,2020-04-04 07:20:12,Dulles,Virginia
36.199.228.167/4,29,33.5446,-86.9292,atidmarsh4t@unblog.fr,2020-03-20 18:02:20,Birmingham,Alabama
60.198.21.228/28,20,38.2306,-85.7905,mcollicott4u@un.org,2021-01-22 11:24:53,Louisville,Kentucky
244.159.183.101/20,7,29.5407,-98.5521,btrassler4v@booking.com,2020-05-21 05:58:37,San Antonio,Texas
212.44.231.11/30,13,33.5291,-112.2482,vgooble4w@weebly.com,2020-08-04 15:41:49,Glendale,Arizona
172.203.61.126/2,18,39.2847,-76.6205,jgrinyakin4x@ted.com,2020-02-29 06:15:26,Baltimore,Maryland
249.202.81.32/17,97,31.6948,-106.3,jspoor4y@howstuffworks.com,2020-08-24 17:19:54,El Paso,Texas
6.205.249.146/19,60,39.9597,-75.2024,jbellward4z@harvard.edu,2020-02-24 01:23:42,Philadelphia,Pennsylvania
224.22.15.127/11,34,32.0053,-81.0477,ggreenshields50@amazon.co.uk,2020-06-28 05:57:29,Savannah,Georgia
166.243.190.116/11,13,40.0495,-83.0669,kreadings51@acquirethisname.com,2020-04-06 10:09:44,Columbus,Ohio
241.153.47.235/5,50,44.9034,-93.374,bfisby52@biblegateway.com,2020-03-09 01:17:10,Minneapolis,Minnesota
181.134.139.64/23,75,41.9229,-87.6483,mkilius53@businesswire.com,2020-11-09 04:19:22,Chicago,Illinois
15.177.5.62/2,42,27.2866,-82.477,bnutkins54@guardian.co.uk,2020-04-16 11:13:08,Sarasota,Florida
3.59.107.30/5,11,33.7488,-84.3883,cdarragon55@constantcontact.com,2020-07-20 10:49:08,Atlanta,Georgia
2.230.22.91/17,90,35.26,-80.8042,wbride56@squarespace.com,2021-01-10 21:31:44,Charlotte,North Carolina
195.11.9.10/12,90,40.2204,-74.7622,gsimonin57@parallels.com,2020-07-21 07:27:08,Trenton,New Jersey
53.249.138.209/1,27,39.0312,-94.6308,fczajka58@oaic.gov.au,2020-07-19 03:09:40,Shawnee Mission,Kansas
128.252.97.9/23,8,39.7388,-104.4083,gbrocks59@loc.gov,2021-01-06 07:15:06,Englewood,Colorado
175.4.159.251/16,79,35.5514,-97.4075,aleprovost5a@csmonitor.com,2020-05-15 21:58:26,Oklahoma City,Oklahoma
187.91.53.54/23,6,38.7192,-77.1073,mgrizard5b@ed.gov,2020-09-16 10:55:44,Alexandria,Virginia
85.25.214.252/2,15,38.4386,-122.6727,hhuckfield5c@bravesites.com,2020-08-11 07:47:57,Santa Rosa,California
167.212.108.72/18,17,32.3834,-86.2434,lcotmore5d@paginegialle.it,2020-09-17 11:40:34,Montgomery,Alabama
74.25.25.55/13,51,36.0512,-78.8577,dubsdall5e@macromedia.com,2020-07-05 21:45:04,Durham,North Carolina
5.44.29.218/31,22,34.0324,-119.1343,liacovucci5f@sun.com,2020-10-12 12:17:49,Ventura,California
26.154.98.158/17,22,33.5693,-101.8904,dswainston5g@mapquest.com,2020-09-19 20:51:16,Lubbock,Texas
120.90.117.218/11,38,43.174,-77.5637,wderell5h@princeton.edu,2020-11-13 16:30:05,Rochester,New York
75.147.95.187/7,95,41.2335,-96.1188,adeamaya5i@jugem.jp,2020-10-15 07:52:49,Omaha,Nebraska
232.231.142.94/20,76,33.4368,-111.7129,qbrauninger5j@odnoklassniki.ru,2020-07-31 19:37:00,Mesa,Arizona
111.210.21.77/25,39,41.0977,-85.1189,mfilippone5k@spiegel.de,2020-06-11 19:34:51,Fort Wayne,Indiana
229.60.184.208/25,39,37.5158,-77.5047,moheagertie5l@domainmarket.com,2020-01-28 07:08:56,Richmond,Virginia
5.194.105.9/4,47,29.834,-95.4342,bscopyn5m@opera.com,2020-12-07 19:26:59,Houston,Texas
74.246.113.169/8,37,26.0989,-80.1541,wtrain5n@tripadvisor.com,2020-07-27 04:21:54,Fort Lauderdale,Florida
139.15.18.16/28,37,37.2187,-121.8601,cblythe5o@nytimes.com,2020-01-24 12:58:25,San Jose,California
45.205.40.25/28,90,36.0218,-78.9478,wspillett5p@google.com.au,2020-09-24 21:44:44,Durham,North Carolina
21.33.56.16/22,46,42.6149,-73.9708,bmacleese5q@oakley.com,2020-07-29 02:26:54,Albany,New York
22.173.250.166/5,26,33.783,-118.0256,obrugsma5r@marriott.com,2020-04-29 10:22:37,Garden Grove,California
214.101.148.240/12,39,38.4386,-122.6727,fnunesnabarro5s@blogs.com,2021-01-09 23:43:53,Santa Rosa,California
184.173.64.229/20,30,40.7543,-73.9798,jlewis5t@amazon.co.jp,2020-01-22 22:09:16,New York City,New York
183.188.102.178/29,52,38.7351,-77.0796,dlipscombe5u@discuz.net,2020-07-27 12:40:43,Fairfax,Virginia
196.8.159.127/20,83,36.7949,-119.7604,hcotty5v@auda.org.au,2020-04-13 03:55:22,Fresno,California
208.227.188.152/24,92,26.2626,-81.8071,hstarkings5w@oracle.com,2021-01-18 06:18:20,Naples,Florida
117.15.68.173/5,99,29.4237,-98.4925,ncornier5x@economist.com,2020-03-21 20:30:54,San Antonio,Texas
39.39.132.142/3,60,40.4344,-80.0248,ihardwick5y@mapquest.com,2020-09-02 16:57:42,Pittsburgh,Pennsylvania
135.55.157.2/11,15,40.7536,-73.8226,dcounsell5z@discuz.net,2020-03-04 21:42:22,Flushing,New York
100.112.49.6/10,5,40.692,-89.5887,cchaudron60@odnoklassniki.ru,2020-04-23 19:11:22,Peoria,Illinois
106.141.13.140/16,66,29.9686,-90.0646,sscrooby61@dmoz.org,2020-04-28 17:48:42,New Orleans,Louisiana
18.207.251.217/31,48,42.7161,-87.8233,ebartram62@squidoo.com,2020-02-24 15:57:45,Racine,Wisconsin
121.35.93.21/10,33,31.6948,-106.3,crickarsey63@shinystat.com,2020-09-06 14:48:45,El Paso,Texas
180.176.246.7/26,84,40.702,-74.089,dsandwith64@nydailynews.com,2020-03-30 08:40:50,Jersey City,New Jersey
253.237.62.61/15,53,40.7543,-73.9798,tbride65@phpbb.com,2020-05-08 05:17:16,New York City,New York
238.98.8.108/29,45,27.4544,-82.6358,mcamamile66@odnoklassniki.ru,2020-11-28 02:59:13,Bradenton,Florida
197.223.156.221/3,64,33.9367,-83.9573,mtooth67@macromedia.com,2020-04-26 02:26:42,Lawrenceville,Georgia
131.56.170.188/15,93,32.8067,-83.6913,bleggatt68@smh.com.au,2020-07-24 07:23:23,Macon,Georgia
71.238.235.205/6,36,43.1791,-86.1989,abridat69@wikispaces.com,2020-04-17 10:56:04,Muskegon,Michigan
143.96.118.248/7,84,33.7465,-117.8662,craubenheimers6a@wix.com,2020-09-28 01:01:36,Santa Ana,California
35.44.107.240/3,21,40.6451,-73.945,cglassup6b@sfgate.com,2021-01-16 12:00:10,Brooklyn,New York
215.237.35.114/5,57,42.3254,-89.1705,lsimcoe6c@springer.com,2020-12-04 08:56:21,Rockford,Illinois
29.7.227.208/10,90,40.7808,-73.9772,lwesthead6d@weibo.com,2020-04-05 13:46:54,New York City,New York
62.205.52.56/13,37,42.3319,-71.254,klandrick6e@nature.com,2020-12-13 14:58:24,Newton,Massachusetts
144.160.242.12/21,74,33.7867,-117.8742,elebbern6f@cnbc.com,2020-11-08 11:58:16,Orange,California
