ip_address,http_status,latitude,longitude,user name,time,state,city
28.20.239.170/18,46,29.4413,-98.4793,bcobdenh@w3.org,2020-05-24 00:47:33,Texas,San Antonio
43.67.172.246/22,10,29.7575,-95.3668,asottelli@hugedomains.com,2021-01-07 10:54:11,Texas,Houston
214.111.251.242/11,24,43.0421,-76.1046,rclemesj@facebook.com,2020-04-13 14:22:57,New York,Syracuse
127.225.23.240/28,63,40.8702,-73.8495,aslotk@google.ca,2020-06-20 06:27:58,New York,Bronx
31.196.178.98/17,91,34.8661,-82.3198,tedmandsl@chicagotribune.com,2020-10-12 23:50:33,South Carolina,Greenville
224.138.76.102/8,42,37.5242,-77.4932,wkarolovskym@instagram.com,2020-04-21 20:37:45,Virginia,Richmond
93.4.16.177/12,80,33.7843,-118.1157,elevyn@e-recht24.de,2020-05-10 12:08:33,California,Long Beach
230.15.233.95/9,20,41.9804,-91.7098,lburwello@dell.com,2020-12-29 20:32:59,Iowa,Cedar Rapids
141.180.222.48/7,32,37.1894,-121.7053,kmcnerlinp@addthis.com,2021-01-24 23:21:27,California,Mountain View
33.214.104.88/5,64,35.26,-80.8042,dgundryq@huffingtonpost.com,2020-12-08 09:48:21,North Carolina,Charlotte
133.228.128.240/9,80,35.4015,-101.8951,bstudartr@over-blog.com,2020-12-18 02:53:30,Texas,Amarillo
126.151.230.214/18,79,39.144,-77.2076,ldannels@domainmarket.com,2020-10-10 17:29:03,Maryland,Silver Spring
178.113.159.22/21,5,38.189,-85.6768,sdyert@joomla.org,2020-10-08 18:47:57,Kentucky,Louisville
58.70.178.201/17,96,39.5645,-75.597,ewinwrightu@wordpress.com,2020-03-05 16:11:16,Delaware,Wilmington
206.38.206.31/19,63,26.045,-81.6669,kklempsv@shareasale.com,2020-03-31 09:13:40,Florida,Naples
68.189.78.135/10,99,47.1126,-122.7794,rtuffieldw@nih.gov,2020-12-17 07:58:23,Washington,Olympia
32.161.250.38/8,69,32.6437,-117.1384,clefwichx@senate.gov,2020-12-04 19:27:44,California,San Diego
11.73.106.55/4,64,29.7629,-95.3629,cofearguisey@t-online.de,2020-04-09 12:21:27,Texas,Houston
98.75.174.189/17,4,27.777,-97.4632,cjenkinsz@theglobeandmail.com,2020-10-08 22:13:25,Texas,Corpus Christi
147.52.224.246/6,35,40.6278,-75.3928,smcguire10@dagondesign.com,2020-06-10 14:36:58,Pennsylvania,Bethlehem
92.106.240.197/2,60,41.2722,-75.8801,rdaine11@bloglines.com,2020-07-25 14:59:46,Pennsylvania,Wilkes Barre
247.98.236.250/19,54,33.0169,-116.846,cstannion12@tmall.com,2020-04-13 18:35:59,California,San Diego
229.206.63.98/8,20,31.6948,-106.3,rbehning13@huffingtonpost.com,2020-11-03 19:25:41,Texas,El Paso
185.126.95.91/28,9,40.2944,-76.8938,kmountstephen14@sogou.com,2020-01-16 11:24:43,Pennsylvania,Harrisburg
155.92.241.5/20,48,31.6948,-106.3,lmcquin15@flickr.com,2020-01-19 08:11:04,Texas,El Paso
16.164.216.194/13,13,35.9901,-83.9622,tmacfall16@house.gov,2020-06-07 04:40:43,Tennessee,Knoxville
187.222.44.191/1,86,33.8356,-117.9132,ayewdale17@cloudflare.com,2020-01-04 05:33:15,California,Anaheim
216.141.33.134/13,66,40.3522,-78.9383,cavramchik18@tuttocitta.it,2020-06-03 16:33:21,Pennsylvania,Johnstown
218.219.221.35/14,5,27.4841,-82.5834,sbatterbee19@phpbb.com,2020-09-11 09:16:14,Florida,Bradenton
61.27.71.212/19,75,40.7808,-73.9772,kmclenahan1a@gmpg.org,2020-12-06 18:02:31,New York,New York City
38.155.204.188/30,93,38.189,-85.6768,ibadrick1b@constantcontact.com,2020-12-05 18:08:09,Kentucky,Louisville
16.198.81.213/21,62,37.799,-122.2337,ffundell1c@acquirethisname.com,2020-01-21 00:46:15,California,Oakland
22.98.53.134/25,34,32.8067,-83.6913,nrundle1d@msu.edu,2020-08-20 13:34:41,Georgia,Macon
214.69.171.59/6,8,25.2846,-80.6246,fhasling1e@example.com,2020-01-17 15:48:06,Florida,Homestead
94.87.197.153/18,57,40.4614,-88.953,gdelaeglise1f@army.mil,2020-09-10 03:30:13,Illinois,Bloomington
74.178.198.126/30,9,33.8444,-84.474,asillars1g@ning.com,2020-10-11 20:56:05,Georgia,Atlanta
152.211.242.151/10,43,33.2765,-112.1872,efeifer1h@networkadvertising.org,2020-01-08 23:12:26,Arizona,Phoenix
188.166.53.87/14,36,41.0938,-85.0707,mandrzejak1i@go.com,2020-06-19 08:35:42,Indiana,Fort Wayne
71.242.109.24/30,19,39.0142,-95.6982,psebrens1j@comcast.net,2020-03-07 01:41:33,Kansas,Topeka
223.120.205.21/7,35,42.7684,-78.8871,lhoys1k@guardian.co.uk,2020-09-22 07:06:08,New York,Buffalo
50.90.75.144/24,8,27.777,-97.4632,aknibley1l@nydailynews.com,2020-07-17 21:53:25,Texas,Corpus Christi
42.201.159.100/18,14,47.9335,-97.3944,carent1m@spotify.com,2020-07-08 06:00:58,North Dakota,Grand Forks
194.52.108.16/27,99,33.9583,-118.3258,ggabby1n@google.cn,2020-03-18 10:49:11,California,Inglewood
99.92.245.189/2,54,39.6749,-84.1136,ceschelle1o@angelfire.com,2020-08-12 05:16:07,Ohio,Dayton
76.141.68.99/20,47,33.2765,-112.1872,eteers1p@rediff.com,2020-03-31 21:08:50,Arizona,Phoenix
244.176.146.177/15,48,36.0275,-80.2073,abirdsey1q@flavors.me,2020-08-27 18:27:34,North Carolina,Winston Salem
186.187.13.207/2,24,28.4429,-81.4026,rmill1r@guardian.co.uk,2020-04-05 01:55:20,Florida,Orlando
90.147.169.211/24,37,36.7464,-119.6397,zcrew1s@loc.gov,2020-04-18 19:33:06,California,Fresno
229.132.168.119/27,20,43.174,-77.5637,tboswell1t@t.co,2021-01-27 14:34:48,New York,Rochester
119.14.119.210/18,15,61.1901,-149.9361,cblakeley1u@google.com.br,2020-03-16 22:25:45,Alaska,Anchorage
238.142.122.94/15,99,36.8282,-76.0237,tbernucci1v@buzzfeed.com,2020-02-08 06:49:21,Virginia,Virginia Beach
189.171.82.91/28,98,42.5125,-83.0643,kmcavaddy1w@pinterest.com,2020-05-16 17:21:38,Michigan,Warren
213.201.223.149/4,15,40.7664,-74.1695,bsexcey1x@webeden.co.uk,2020-05-07 07:39:30,New Jersey,Newark
123.199.204.192/26,80,32.8919,-117.2035,mheddan1y@youtube.com,2021-01-05 14:55:33,California,San Diego
57.229.84.111/6,24,39.1042,-94.4923,dhestrop1z@baidu.com,2020-10-04 16:32:53,Missouri,Kansas City
228.169.193.119/3,56,38.8808,-77.113,wtissier20@sun.com,2021-01-12 15:49:17,Virginia,Arlington
146.83.13.178/4,14,38.8933,-77.0146,mparfett21@alexa.com,2020-06-17 21:40:33,District of Columbia,Washington
5.99.18.67/22,46,36.2383,-95.9931,efloat22@creativecommons.org,2020-02-20 04:41:28,Oklahoma,Tulsa
36.63.180.98/25,30,41.0655,-81.5203,slargent23@msu.edu,2020-03-28 22:36:38,Ohio,Akron
75.195.208.213/17,42,35.0425,-90.0732,kscouler24@nyu.edu,2021-01-23 18:23:31,Tennessee,Memphis
240.59.139.94/15,94,45.5137,-122.5569,bbougourd25@marketwatch.com,2020-09-08 16:40:40,Oregon,Portland
202.188.151.100/25,57,33.7866,-118.2987,lhaddacks26@mozilla.org,2020-11-20 06:48:53,California,Torrance
151.32.59.17/3,91,41.5968,-86.293,mkettley27@pinterest.com,2020-01-12 11:22:07,Indiana,South Bend
97.5.253.92/29,68,29.1565,-82.2095,mlevin28@exblog.jp,2020-06-18 11:52:20,Florida,Ocala
146.74.251.48/24,27,38.4134,-82.2774,jbecerra29@w3.org,2020-11-17 20:22:30,West Virginia,Huntington
4.28.5.35/11,77,30.2166,-97.8508,nfretter2a@vkontakte.ru,2020-02-04 03:41:57,Texas,Austin
221.180.3.61/27,68,33.0169,-116.846,rsavery2b@archive.org,2020-04-15 07:27:14,California,Escondido
163.64.87.217/22,84,39.7795,-86.1328,npicardo2c@elegantthemes.com,2020-04-17 16:56:38,Indiana,Indianapolis
183.22.222.52/5,9,35.5514,-97.4075,stincey2d@microsoft.com,2020-07-27 19:49:33,Oklahoma,Oklahoma City
245.85.235.230/29,50,38.2306,-85.7905,ihuggan2e@dion.ne.jp,2020-09-18 07:38:00,Kentucky,Louisville
240.230.32.61/31,69,40.6763,-73.7966,hchurchlow2f@shutterfly.com,2020-06-26 20:20:11,New York,Jamaica
216.207.144.67/25,38,39.7076,-94.8677,spinchback2g@accuweather.com,2020-05-04 02:44:07,Missouri,Saint Joseph
68.11.241.144/27,27,38.5816,-121.4933,bwallen2h@loc.gov,2020-10-30 21:39:00,California,Sacramento
140.32.143.246/11,9,28.5289,-81.4787,cseefus2i@wikispaces.com,2020-01-21 19:25:50,Florida,Orlando
149.231.152.192/22,80,33.2781,-111.7096,hhand2j@craigslist.org,2020-05-10 19:56:38,Arizona,Gilbert
215.196.236.29/12,79,47.6339,-122.3476,bizchaki2k@ucla.edu,2020-12-31 18:54:40,Washington,Seattle
243.169.5.178/26,34,42.3611,-71.0682,tcookley2l@over-blog.com,2020-10-05 11:04:09,Massachusetts,Boston
216.42.20.226/3,54,38.0283,-84.4715,abrunker2m@pagesperso-orange.fr,2020-07-07 00:01:59,Kentucky,Lexington
185.229.217.156/5,35,41.6727,-93.5722,cmckie2n@xing.com,2020-08-02 22:00:33,Iowa,Des Moines
245.237.16.82/2,46,39.2829,-94.409,gcallear2o@storify.com,2020-04-01 12:02:25,Missouri,Kansas City
25.60.245.172/17,35,31.6948,-106.3,blindermann2p@cnn.com,2020-08-25 05:24:53,Texas,El Paso
74.97.99.200/27,55,27.2866,-82.477,fodo2q@skyrock.com,2020-07-29 04:06:25,Florida,Sarasota
200.217.246.96/15,81,38.9067,-77.0312,ehousecroft2r@mozilla.com,2020-08-10 06:19:18,District of Columbia,Washington
157.19.70.168/31,27,39.8647,-86.0136,cvasiljevic2s@joomla.org,2020-12-03 12:08:50,Indiana,Indianapolis
75.158.106.106/3,87,33.8444,-84.474,rblackston2t@xrea.com,2020-01-05 14:55:43,Georgia,Atlanta
158.66.237.45/26,81,33.7529,-116.0556,afigura2u@apache.org,2020-09-06 01:11:40,California,Riverside
59.14.188.163/18,82,33.9321,-83.3525,bhilary2v@cloudflare.com,2020-03-14 02:47:45,Georgia,Athens
120.181.141.211/25,100,32.7673,-96.7776,wleathley2w@chron.com,2020-05-23 17:09:52,Texas,Garland
201.35.111.47/17,68,35.599,-97.6251,byerrell2x@ustream.tv,2020-09-30 09:26:58,Oklahoma,Oklahoma City
247.164.83.48/31,44,39.734,-105.0259,bvanderhoog2y@arstechnica.com,2020-07-16 18:38:11,Colorado,Denver
195.54.217.71/26,35,43.0631,-89.3133,lcostelloe2z@studiopress.com,2020-12-21 00:21:19,Wisconsin,Madison
12.182.205.73/5,56,39.1678,-119.7764,eadamek30@tripod.com,2020-04-16 03:34:51,Nevada,Carson City
180.68.66.112/3,77,41.6857,-81.6728,sreid31@quantcast.com,2020-06-07 14:31:31,Ohio,Cleveland
192.139.73.66/10,90,39.2829,-94.409,enobbs32@house.gov,2020-10-24 04:39:19,Missouri,Kansas City
169.189.230.205/11,92,45.0242,-93.302,edumphries33@vinaora.com,2020-08-20 10:07:44,Minnesota,Minneapolis
119.46.64.141/5,14,38.4386,-122.6727,bborg34@omniture.com,2020-11-15 04:59:09,California,Santa Rosa
96.19.228.33/24,62,36.1499,-95.7923,akleinhaus35@google.cn,2020-03-31 01:30:43,Oklahoma,Tulsa
221.92.53.90/26,99,35.9901,-83.9622,cassender36@timesonline.co.uk,2020-09-19 19:11:32,Tennessee,Knoxville
28.133.114.200/9,81,37.7848,-122.7278,rashleigh37@odnoklassniki.ru,2020-05-19 10:35:33,California,San Francisco
180.62.76.198/10,24,39.7395,-84.229,plouche38@exblog.jp,2020-08-20 13:02:17,Ohio,Dayton
70.124.203.184/28,5,38.3774,-121.4444,etowe39@geocities.jp,2020-07-15 08:54:08,California,Sacramento
6.13.158.198/5,91,39.1678,-119.7764,rbroske3a@apple.com,2020-12-26 18:54:03,Nevada,Carson City
15.114.87.97/24,64,33.4226,-111.7236,fabramov3b@scribd.com,2020-06-26 14:34:35,Arizona,Phoenix
162.190.108.14/3,1,26.6654,-80.0929,tleverett3c@google.de,2020-03-07 12:00:44,Florida,West Palm Beach
20.205.24.131/4,1,27.872,-82.4388,dsimanenko3d@naver.com,2020-01-03 23:52:52,Florida,Tampa
153.130.201.132/12,27,35.8887,-78.6393,jexter3e@elegantthemes.com,2020-06-20 09:55:45,North Carolina,Raleigh
125.69.239.180/1,66,40.6794,-74.0014,tjeves3f@last.fm,2020-06-19 03:05:10,New York,Brooklyn
108.157.161.147/1,83,33.6299,-112.1316,ljelly3g@nasa.gov,2020-03-10 20:50:04,Arizona,Phoenix
211.62.132.99/17,59,39.4814,-119.8591,lshoebottom3h@sfgate.com,2020-11-08 01:33:32,Nevada,Reno
224.125.68.70/19,37,44.9608,-93.1216,hsuggey3i@printfriendly.com,2020-05-24 08:02:31,Minnesota,Saint Paul
184.102.25.119/23,38,38.6111,-90.3225,jcorradeschi3j@examiner.com,2020-05-06 19:30:21,Missouri,Saint Louis
189.126.131.250/29,17,27.6705,-82.7119,glimb3k@va.gov,2020-10-05 16:07:11,Florida,Saint Petersburg
245.241.41.36/1,83,31.6948,-106.3,dgeraldini3l@accuweather.com,2020-10-04 19:10:03,Texas,El Paso
139.49.236.108/10,5,40.338,-75.978,cgravatt3m@arizona.edu,2020-02-25 20:38:36,Pennsylvania,Reading
55.43.123.73/11,92,47.6564,-122.3048,kshowering3n@hugedomains.com,2020-05-03 07:46:38,Washington,Seattle
7.242.240.85/14,47,38.189,-85.6768,esandom3o@unblog.fr,2020-10-19 03:29:08,Kentucky,Louisville
249.212.196.212/20,29,39.111,-84.6594,bcalvie3p@hubpages.com,2020-09-27 20:23:26,Ohio,Cincinnati
176.135.106.154/29,58,38.354,-81.6394,cagius3q@thetimes.co.uk,2020-06-29 03:17:33,West Virginia,Charleston
94.145.190.100/4,18,40.6681,-111.9083,bmila3r@gravatar.com,2020-09-01 13:21:25,Utah,Salt Lake City
26.138.230.24/3,48,40.6924,-73.9666,hingamells3s@irs.gov,2020-03-18 17:59:37,New York,Brooklyn
61.153.238.99/13,5,27.9654,-82.8001,areubens3t@altervista.org,2021-01-21 11:22:39,Florida,Clearwater
122.244.69.222/30,43,32.7714,-97.2915,dfowley3u@rediff.com,2020-10-20 19:50:43,Texas,Arlington
183.100.100.29/10,41,45.5483,-122.8276,kjosselson3v@google.com,2021-01-28 03:27:50,Oregon,Portland
124.10.80.49/19,2,30.3633,-91.0919,mdebruyn3w@thetimes.co.uk,2020-04-23 02:17:13,Louisiana,Baton Rouge
222.109.188.137/13,50,33.7866,-118.2987,dleasor3x@t-online.de,2020-10-09 08:10:20,California,Los Angeles
3.55.179.144/24,24,37.9577,-121.2897,vhurd3y@github.io,2020-09-30 06:10:26,California,Stockton
186.115.234.57/24,84,35.9279,-114.9721,rgothliff3z@irs.gov,2020-07-11 09:26:44,Nevada,North Las Vegas
101.98.190.10/17,26,36.2235,-115.2655,loconcannon40@prnewswire.com,2020-04-01 19:04:13,Nevada,Las Vegas
87.137.6.35/28,50,35.26,-80.8042,cimpey41@so-net.ne.jp,2020-08-28 21:58:12,North Carolina,Charlotte
135.198.167.221/12,69,29.9015,-95.2848,mhutchins42@sina.com.cn,2021-01-06 23:01:30,Texas,Houston
133.33.199.192/18,40,38.8933,-77.0146,psandom43@auda.org.au,2021-01-24 09:45:10,District of Columbia,Washington
85.184.137.97/5,80,38.8933,-77.0146,vwoller44@desdev.cn,2020-05-24 23:15:47,District of Columbia,Washington
111.99.190.65/16,5,25.7274,-80.4497,sbloss45@latimes.com,2020-06-17 03:06:20,Florida,Miami
88.187.169.179/1,71,34.8185,-112.9584,jwinridge46@woothemes.com,2020-09-10 17:50:04,Arizona,Prescott
42.172.43.122/9,57,21.3062,-157.8585,ericcelli47@forbes.com,2020-11-22 02:18:39,Hawaii,Honolulu
97.4.96.51/4,27,33.8635,-118.1801,mburriss48@ask.com,2020-10-09 16:10:07,California,Long Beach
102.68.114.183/10,53,31.9701,-111.8907,gteresse49@icio.us,2020-11-21 00:34:56,Arizona,Tucson
106.210.122.239/29,86,39.778,-89.6466,vhathorn4a@army.mil,2020-01-25 10:55:17,Illinois,Springfield
247.22.190.128/17,9,37.6802,-121.9215,amorlon4b@cornell.edu,2020-01-04 05:54:24,California,Oakland
210.30.17.86/2,77,36.1398,-96.0297,qvarian4c@goodreads.com,2020-10-03 22:27:05,Oklahoma,Tulsa
215.172.105.160/6,36,30.2721,-97.6868,alagne4d@google.es,2020-06-24 20:56:15,Texas,Austin
99.55.153.203/4,6,38.9087,-77.0414,blilion4e@netvibes.com,2020-03-16 00:43:08,District of Columbia,Washington
206.142.62.240/17,38,41.2955,-96.1008,gjurczyk4f@sohu.com,2020-10-28 08:43:45,Nebraska,Omaha
231.89.30.108/3,4,38.8318,-77.2888,mtite4g@psu.edu,2020-11-18 01:02:24,Virginia,Reston
180.98.90.226/6,46,38.8933,-77.0146,bhalso4h@google.com.au,2020-05-21 15:53:09,District of Columbia,Washington
127.137.240.154/19,73,45.5806,-122.3748,hspinella4i@netscape.com,2020-05-20 01:25:07,Oregon,Portland
157.114.94.76/15,48,34.1378,-118.2424,mpopland4j@walmart.com,2020-02-21 17:22:57,California,Glendale
244.17.118.86/26,92,45.9783,-108.1945,bwitchalls4k@csmonitor.com,2020-02-27 04:57:55,Montana,Billings
13.22.66.97/30,61,30.6568,-97.6026,jenevoldsen4l@globo.com,2020-12-01 19:56:57,Texas,Round Rock
198.171.230.99/12,88,38.7351,-77.0796,jmacek4m@facebook.com,2020-05-23 01:02:23,Virginia,Fairfax
117.211.4.252/11,45,30.2081,-92.0951,ghirsch4n@typepad.com,2020-02-14 03:56:34,Louisiana,Lafayette
118.68.118.242/7,73,31.6948,-106.3,eporter4o@imdb.com,2020-10-17 21:54:15,Texas,El Paso
63.17.92.48/27,46,40.9166,-74.174,shorrell4p@furl.net,2020-05-31 20:21:44,New Jersey,Paterson
105.193.249.45/26,63,31.1282,-97.7469,rgroomebridge4q@bloomberg.com,2020-01-15 18:07:12,Texas,Killeen
115.30.93.219/5,85,33.6993,-81.6465,rpetche4r@youtu.be,2020-06-13 23:29:21,South Carolina,Aiken
53.153.54.188/11,22,29.6297,-95.4382,nbellows4s@cnbc.com,2021-01-26 07:16:28,Texas,Houston
169.101.242.229/15,20,36.9312,-76.2397,hkeig4t@hao123.com,2020-03-11 05:19:09,Virginia,Norfolk
169.184.142.144/24,95,35.0583,-79.008,rpigden4u@domainmarket.com,2020-03-14 23:52:01,North Carolina,Fayetteville
120.177.188.143/9,75,29.4189,-98.6895,ibrahams4v@google.ru,2020-06-17 20:13:43,Texas,San Antonio
24.127.202.191/29,67,32.3475,-95.3065,bcranfield4w@who.int,2020-06-23 13:37:58,Texas,Tyler
163.105.147.186/6,58,41.3657,-72.9275,jpaxforde4x@163.com,2020-02-23 04:09:50,Connecticut,Waterbury
49.120.48.98/7,9,40.6681,-111.9083,hivanshintsev4y@ucsd.edu,2020-10-09 08:03:11,Utah,Salt Lake City
132.131.241.155/16,25,39.5327,-87.3255,eweir4z@usatoday.com,2020-02-27 07:35:16,Indiana,Terre Haute
135.126.100.16/22,53,40.6934,-75.4712,rsmitheman50@sfgate.com,2020-07-24 10:19:25,Pennsylvania,Allentown
127.215.230.3/23,36,34.8272,-92.2847,nleyninye51@howstuffworks.com,2020-02-15 07:54:04,Arkansas,North Little Rock
49.253.72.219/14,46,33.8994,-117.9063,aplastow52@sfgate.com,2020-04-24 20:53:41,California,Fullerton
247.70.242.41/20,89,41.1084,-104.8107,mkruschov53@techcrunch.com,2020-11-26 08:48:52,Wyoming,Cheyenne
83.240.104.153/29,65,40.43,-74.4173,jdipietro54@wiley.com,2020-05-20 03:00:18,New Jersey,New Brunswick
3.33.222.41/17,94,29.7026,-98.4759,shardiman55@rediff.com,2020-12-15 21:36:57,Texas,San Antonio
119.140.213.185/16,55,33.5446,-86.9292,jrobel56@tiny.cc,2020-12-01 04:03:03,Alabama,Birmingham
210.34.169.126/26,49,37.6409,-120.9749,bdraayer57@shop-pro.jp,2020-12-23 16:24:06,California,Modesto
200.145.234.210/3,34,42.7684,-78.8871,mmckerley58@prlog.org,2020-11-12 18:51:14,New York,Buffalo
162.50.50.110/6,2,33.5446,-86.9292,dsapena59@so-net.ne.jp,2020-01-18 18:31:57,Alabama,Birmingham
84.114.194.118/29,42,27.777,-97.4632,kbrookshaw5a@addtoany.com,2020-10-09 05:12:15,Texas,Corpus Christi
248.171.170.28/16,55,42.0794,-91.5992,egrewes5b@nasa.gov,2020-02-25 15:04:29,Iowa,Cedar Rapids
212.48.149.158/22,51,40.2418,-74.6962,lwintle5c@wikia.com,2020-08-03 06:36:09,New Jersey,Trenton
145.241.144.210/25,83,41.0114,-74.3048,abirbeck5d@tripod.com,2020-02-22 11:35:43,New Jersey,Paterson
196.36.185.250/23,61,40.5384,-105.0547,afaulo5e@craigslist.org,2020-07-07 12:50:39,Colorado,Fort Collins
228.123.234.82/20,62,35.26,-80.8042,pcroxley5f@purevolume.com,2020-05-20 12:50:25,North Carolina,Charlotte
27.61.211.176/7,87,38.5816,-121.4933,rmoakes5g@jugem.jp,2020-03-27 16:00:09,California,Sacramento
112.101.241.75/27,86,41.8756,-87.6378,cstileman5h@zimbio.com,2020-02-29 06:49:09,Illinois,Chicago
151.25.141.107/29,2,38.8933,-77.0146,aheersema5i@google.cn,2020-02-08 11:05:59,District of Columbia,Washington
9.236.219.246/19,3,36.3265,-115.3398,smusso5j@seattletimes.com,2020-10-01 07:52:19,Nevada,Las Vegas
99.129.84.166/7,43,39.7388,-104.4083,rbodman5k@cnbc.com,2020-01-15 10:03:07,Colorado,Littleton
158.83.106.164/24,17,38.9033,-92.1022,ajoutapaitis5l@un.org,2021-01-30 22:14:11,Missouri,Columbia
48.6.189.205/14,70,36.086,-115.1471,lgaydon5m@bbc.co.uk,2020-08-22 01:38:14,Nevada,Las Vegas
66.175.136.74/25,49,43.5851,-116.2191,shatchman5n@usa.gov,2020-07-27 01:53:31,Idaho,Boise
47.236.219.51/10,32,41.5487,-93.5827,kmonnery5o@wordpress.com,2020-06-06 22:34:18,Iowa,Des Moines
28.53.121.108/2,89,38.3774,-121.4444,aganing5p@home.pl,2020-01-14 20:40:45,California,Sacramento
136.48.170.61/11,26,33.4724,-112.1832,wbeecheno5q@blinklist.com,2020-05-14 06:06:59,Arizona,Phoenix
39.74.246.150/26,49,40.0018,-75.1179,ijaeggi5r@senate.gov,2020-04-25 15:25:58,Pennsylvania,Philadelphia
24.8.88.147/23,61,39.8326,-86.0836,pfiloniere5s@scientificamerican.com,2020-01-15 10:55:45,Indiana,Indianapolis
100.31.74.55/12,90,37.1136,-93.2896,dlipsett5t@examiner.com,2020-12-11 20:00:37,Missouri,Springfield
197.137.74.206/22,47,38.8808,-77.113,mmcgow5u@woothemes.com,2020-12-22 21:40:00,Virginia,Arlington
175.220.119.244/29,26,47.116,-114.0498,bivankin5v@hexun.com,2020-10-14 03:02:05,Montana,Missoula
156.121.252.158/21,28,29.4189,-98.6895,sjochen5w@europa.eu,2020-01-22 06:22:04,Texas,San Antonio
44.187.185.232/20,50,31.6948,-106.3,bgoodall5x@joomla.org,2020-02-01 17:48:44,Texas,El Paso
179.224.21.248/14,55,43.524,-96.7341,efotitt5y@flickr.com,2020-05-19 20:27:45,South Dakota,Sioux Falls
39.182.108.100/15,76,30.1288,-95.4239,cjolin5z@tripod.com,2020-04-08 09:20:26,Texas,Spring
153.147.101.58/18,58,40.7548,-73.6018,cseton60@google.cn,2020-06-28 00:27:21,New York,New Hyde Park
151.162.231.239/23,5,25.5584,-80.4582,fgraves61@phpbb.com,2020-03-15 08:50:56,Florida,Miami
151.126.124.240/20,60,35.2502,-94.3703,gdwelly62@symantec.com,2020-06-27 13:18:45,Arkansas,Fort Smith
192.220.22.37/18,5,40.6628,-73.9546,gmettericke63@angelfire.com,2020-11-24 13:06:02,New York,Brooklyn
207.183.155.194/14,13,47.1042,-122.87,mchew64@storify.com,2020-05-31 01:37:07,Washington,Olympia
216.248.43.154/14,55,36.0807,-80.0244,enorthen65@youku.com,2020-01-04 16:20:38,North Carolina,Greensboro
38.145.138.26/18,98,34.8337,-92.3289,ipurslow66@naver.com,2021-01-09 09:33:45,Arkansas,North Little Rock
58.217.44.60/13,7,33.5446,-86.9292,akynge67@symantec.com,2020-12-24 05:25:44,Alabama,Birmingham
27.147.139.13/30,25,41.3089,-73.3637,fdeeks68@pcworld.com,2020-02-27 09:37:13,Connecticut,Bridgeport
39.129.229.136/9,16,27.872,-82.4388,gkem69@nyu.edu,2020-06-30 08:10:16,Florida,Tampa
211.46.124.121/10,100,40.6324,-74.1172,cdrydale6a@google.com,2020-04-22 23:22:26,New York,Staten Island
73.212.92.250/31,62,38.4386,-122.6727,tsinkinson6b@mozilla.org,2020-09-14 11:29:48,California,Santa Rosa
54.73.240.182/15,31,40.8265,-73.9383,smouget6c@mysql.com,2020-12-11 22:39:45,New York,New York City
51.194.203.193/4,60,40.2805,-74.712,cabramin6d@elpais.com,2020-06-28 14:51:54,New Jersey,Trenton
86.247.104.13/11,94,39.7074,-104.9686,mkupker6e@instagram.com,2020-01-28 00:04:07,Colorado,Denver
53.155.170.77/27,83,27.9865,-82.0139,cheinemann6f@dion.ne.jp,2021-01-02 12:14:59,Florida,Lakeland
200.250.18.174/9,38,39.7495,-89.606,lcritchlow6g@wunderground.com,2020-12-12 18:09:10,Illinois,Springfield
